t	x	y	z
10.9000	-1.1597	-0.9443	0.0000
11.0000	-1.0598	-0.9548	0.0000
11.1000	-0.9593	-0.9552	0.0000
11.2000	-0.8592	-0.9456	0.0000
11.3000	-0.7606	-0.9261	0.0000
11.4000	-0.6645	-0.8969	0.0000
11.5000	-0.5717	-0.8582	0.0000
11.6000	-0.4833	-0.8104	0.0000
11.7000	-0.4001	-0.7541	0.0000
11.8000	-0.3229	-0.6897	0.0000
11.9000	-0.2525	-0.6180	0.0000
12.0000	-0.1896	-0.5396	0.0000
12.1000	-0.1349	-0.4553	0.0000
12.2000	-0.0888	-0.3660	0.0000
12.3000	-0.0519	-0.2726	0.0000
12.4000	-0.0244	-0.1759	0.0000
12.5000	-0.0068	-0.0769	0.0000
12.6000	0.0009	0.0233	0.0000
12.7000	-0.0015	0.1237	0.0000
12.8000	-0.0138	0.2235	0.0000
12.9000	-0.0361	0.3215	0.0000
13.0000	-0.0680	0.4168	0.0000
13.1000	-0.1092	0.5084	0.0000
13.2000	-0.1594	0.5955	0.0000
13.3000	-0.2181	0.6771	0.0000
13.4000	-0.2845	0.7525	0.0000
13.5000	-0.3582	0.8208	0.0000
13.6000	-0.4383	0.8815	0.0000
13.7000	-0.5241	0.9339	0.0000
13.8000	-0.6147	0.9775	0.0000
13.9000	-0.7091	1.0118	0.0000
14.0000	-0.8065	1.0365	0.0000
14.1000	-0.9059	1.0514	0.0000
14.2000	-1.0063	1.0562	0.0000
14.3000	-1.1067	1.0511	0.0000
14.4000	-1.2060	1.0360	0.0000
14.5000	-1.3034	1.0110	0.0000
14.6000	-1.3978	0.9764	0.0000
14.7000	-1.4882	0.9326	0.0000
14.8000	-1.5738	0.8800	0.0000
14.9000	-1.6538	0.8191	0.0000
15.0000	-1.7273	0.7506	0.0000
15.1000	-1.7936	0.6751	0.0000
15.2000	-1.8520	0.5933	0.0000
15.3000	-1.9019	0.5061	0.0000
15.4000	-1.9430	0.4143	0.0000
15.5000	-1.9746	0.3190	0.0000
15.6000	-1.9966	0.2209	0.0000
15.7000	-2.0087	0.1211	0.0000
15.8000	-2.0108	0.0206	0.0000
15.9000	-2.0029	-0.0795	0.0000
16.0000	-1.9850	-0.1784	0.0000
16.1000	-1.9573	-0.2750	0.0000
16.2000	-1.9201	-0.3684	0.0000
16.3000	-1.8738	-0.4576	0.0000
16.4000	-1.8189	-0.5417	0.0000
16.5000	-1.7558	-0.6200	0.0000
16.6000	-1.6852	-0.6915	0.0000
16.7000	-1.6078	-0.7557	0.0000
16.8000	-1.5245	-0.8118	0.0000
16.9000	-1.4359	-0.8593	0.0000
17.0000	-1.3430	-0.8978	0.0000
17.1000	-1.2468	-0.9268	0.0000
17.2000	-1.1482	-0.9460	0.0000
17.3000	-1.0481	-0.9553	0.0000
17.4000	-0.9476	-0.9546	0.0000
17.5000	-0.8477	-0.9439	0.0000
17.6000	-0.7493	-0.9232	0.0000
17.7000	-0.6535	-0.8929	0.0000
17.8000	-0.5612	-0.8531	0.0000
17.9000	-0.4734	-0.8043	0.0000
18.0000	-0.3908	-0.7470	0.0000
18.1000	-0.3144	-0.6818	0.0000
18.2000	-0.2448	-0.6093	0.0000
18.3000	-0.1828	-0.5301	0.0000
18.4000	-0.1291	-0.4452	0.0000
18.5000	-0.0840	-0.3554	0.0000
18.6000	-0.0482	-0.2615	0.0000
18.7000	-0.0219	-0.1645	0.0000
18.8000	-0.0054	-0.0654	0.0000
18.9000	0.0011	0.0349	0.0000
19.0000	-0.0024	0.1354	0.0000
19.1000	-0.0159	0.2349	0.0000
19.2000	-0.0393	0.3327	0.0000
19.3000	-0.0723	0.4276	0.0000
19.4000	-0.1146	0.5188	0.0000
19.5000	-0.1658	0.6052	0.0000
19.6000	-0.2254	0.6862	0.0000
19.7000	-0.2927	0.7608	0.0000
19.8000	-0.3672	0.8283	0.0000
19.9000	-0.4480	0.8880	0.0000
20.0000	-0.5344	0.9394	0.0000
20.1000	-0.6254	0.9819	0.0000
20.2000	-0.7203	1.0151	0.0000
20.3000	-0.8180	1.0387	0.0000
20.4000	-0.9175	1.0524	0.0000
20.5000	-1.0180	1.0562	0.0000
20.6000	-1.1183	1.0498	0.0000
20.7000	-1.2174	1.0336	0.0000
20.8000	-1.3145	1.0075	0.0000
20.9000	-1.4084	0.9718	0.0000
21.0000	-1.4984	0.9270	0.0000
21.1000	-1.5834	0.8734	0.0000
21.2000	-1.6627	0.8116	0.0000
21.3000	-1.7353	0.7422	0.0000
21.4000	-1.8007	0.6659	0.0000
21.5000	-1.8582	0.5834	0.0000
21.6000	-1.9072	0.4957	0.0000
21.7000	-1.9471	0.4035	0.0000
21.8000	-1.9777	0.3077	0.0000
21.9000	-1.9985	0.2094	0.0000
22.0000	-2.0095	0.1095	0.0000
22.1000	-2.0104	0.0090	0.0000
22.2000	-2.0013	-0.0911	0.0000
22.3000	-1.9823	-0.1898	0.0000
22.4000	-1.9535	-0.2860	0.0000
22.5000	-1.9152	-0.3790	0.0000
22.6000	-1.8679	-0.4676	0.0000
22.7000	-1.8120	-0.5511	0.0000
22.8000	-1.7480	-0.6286	0.0000
22.9000	-1.6766	-0.6993	0.0000
23.0000	-1.5985	-0.7626	0.0000
23.1000	-1.5145	-0.8177	0.0000
23.2000	-1.4254	-0.8642	0.0000
23.3000	-1.3321	-0.9016	0.0000
23.4000	-1.2355	-0.9295	0.0000
23.5000	-1.1366	-0.9476	0.0000
23.6000	-1.0365	-0.9558	0.0000
23.7000	-0.9360	-0.9539	0.0000
23.8000	-0.8362	-0.9420	0.0000
23.9000	-0.7381	-0.9202	0.0000
24.0000	-0.6427	-0.8887	0.0000
24.1000	-0.5508	-0.8479	0.0000
24.2000	-0.4635	-0.7981	0.0000
24.3000	-0.3816	-0.7399	0.0000
24.4000	-0.3059	-0.6738	0.0000
24.5000	-0.2372	-0.6004	0.0000
24.6000	-0.1762	-0.5206	0.0000
24.7000	-0.1234	-0.4351	0.0000
24.8000	-0.0794	-0.3447	0.0000
24.9000	-0.0446	-0.2504	0.0000
25.0000	-0.0195	-0.1531	0.0000
25.1000	-0.0041	-0.0538	0.0000
25.2000	0.0012	0.0466	0.0000
25.3000	-0.0034	0.1469	0.0000
25.4000	-0.0181	0.2464	0.0000
25.5000	-0.0426	0.3438	0.0000
25.6000	-0.0767	0.4384	0.0000
25.7000	-0.1201	0.5290	0.0000
25.8000	-0.1723	0.6149	0.0000
25.9000	-0.2328	0.6952	0.0000
26.0000	-0.3010	0.7690	0.0000
26.1000	-0.3762	0.8356	0.0000
26.2000	-0.4577	0.8944	0.0000
26.3000	-0.5447	0.9448	0.0000
26.4000	-0.6362	0.9862	0.0000
